feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
val_ep,strategy95,valuation,evidence_watch,watch_not_selector,materialized,True,related_cluster,val_dp,0.59953029,val_ep,81,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
val_sp,strategy95,valuation,core_prior,keep_candidate,materialized,True,independent_candidate,val_bp,0.34777737,val_sp,82,22,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vol_chg_turnover_1y,strategy95,volume,core_prior,keep_candidate,materialized,True,related_cluster,vol_signal_5d,0.50951236,vol_chg_turnover_1y,83,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vol_cv_volprice_20d,strategy95,volume,core_prior,keep_candidate,materialized,True,independent_candidate,volatility_20d,0.36638536,vol_cv_volprice_20d,84,23,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vol_money_flow_5d,strategy95,volume,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_wma_10_pos,0.85042464,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vol_share_turnover_21d,strategy95,volume,evidence_watch,watch_not_selector,materialized,True,related_cluster,VSTD_20,0.76240144,vol_share_turnover_21d,86,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vol_signal_5d,strategy95,volume,core_prior,keep_candidate,materialized,True,related_cluster,l1_volumeExpansion20,0.71732213,vol_signal_5d,87,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vola_cv_90d,strategy95,volatility,core_prior,keep_candidate,materialized,True,related_cluster,vola_realized_1m,0.70855436,vola_cv_90d,88,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vola_min_130d,strategy95,volatility,core_prior,keep_candidate,materialized,True,related_cluster,vola_realized_12m,0.73088293,vola_min_130d,89,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vola_realized_12m,strategy95,volatility,evidence_watch,watch_not_selector,materialized,True,related_cluster,vola_realized_1m,0.79516555,vola_realized_12m,90,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
vola_realized_1m,strategy95,volatility,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_bbBandwidthPct,0.82980262,tech_ma_convergence,5,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
