strategy_factor,strategy_source,strategy_category,ml_feature,rank_corr,abs_rank_corr,n_obs,strategy_mean_ic,ml_mean_ic
tech_ema_12_pos,alphabuilderstw,technical,rsi14,0.7638871887871432,0.7638871887871432,848433,-0.03928779210510085,-0.016774643423643286
tech_keltner_pos_20,alphabuilderstw,technical,ma20_bias,0.763713752703417,0.763713752703417,846288,-0.028257118209128525,-0.027081082099558094
vol_share_turnover_21d,alphabuilderstw,volume,VSTD_20,-0.7624014409464724,0.7624014409464724,824510,0.022877627495641394,-0.009164277254993572
tech_bbi,alphabuilderstw,technical,rsi14,0.7607718661538184,0.7607718661538184,825533,-0.039384848132628644,-0.016774643423643286
tech_mtm_10,alphabuilderstw,technical,keltner_position,0.7602658832073953,0.7602658832073953,845184,-0.023668102696947795,-0.026209558310383026
tech_bbi,alphabuilderstw,technical,BETA_10,0.7599774669024559,0.7599774669024559,825533,-0.039384848132628644,-0.024214918688092158
tech_williams_r_14,alphabuilderstw,technical,ma20_bias,-0.7596107384752614,0.7596107384752614,833309,0.01955197803203668,-0.027081082099558094
tech_keltner_pos_20,alphabuilderstw,technical,ma60_bias,0.7583943112577085,0.7583943112577085,846288,-0.028257118209128525,-0.019092523533406746
l1_diTrend,stockvision_l1,l1_signal,bb_position,0.7581620006067026,0.7581620006067026,846964,-0.027199473141347547,-0.024891557255207197
liq_amihud_21d,alphabuilderstw,volatility,VSTD_10,-0.7581483010108956,0.7581483010108956,827570,-0.017234238980589386,-0.011198127329158208
tech_cci_20,alphabuilderstw,technical,BETA_10,0.7553730096296074,0.7553730096296074,828424,-0.019377130117994135,-0.024214918688092158
tech_bbi,alphabuilderstw,technical,RESI_60,0.7551583065430553,0.7551583065430553,825533,-0.039384848132628644,-0.030571293526659913
tech_ema_12_pos,alphabuilderstw,technical,BETA_5,0.7544360253759899,0.7544360253759899,848433,-0.03928779210510085,-0.03748957786760976
mom_macd_trend_10,alphabuilderstw,momentum,BETA_60,0.7535222482621335,0.7535222482621335,848433,-0.004295178043695222,0.0024759305610545326
l1_macdHist,stockvision_l1,l1_signal,return_10d,0.7519793285308919,0.7519793285308919,848433,-0.021495125567087565,-0.02233427592210728
l1_squeezeMomentum,stockvision_l1,l1_signal,rsi14,0.7516500223371354,0.7516500223371354,828424,-0.026841176628363144,-0.016774643423643286
tech_mtm_10,alphabuilderstw,technical,macdHist,0.7513850786358032,0.7513850786358032,845184,-0.023668102696947795,-0.022463351229758063
tech_slow_kd_14,alphabuilderstw,technical,BETA_10,0.7510511897188528,0.7510511897188528,846964,-0.008466635073151298,-0.024214918688092158
l1_macdHist,stockvision_l1,l1_signal,RESI_60,0.7500418649122846,0.7500418649122846,848433,-0.021495125567087565,-0.030571293526659913
tech_keltner_pos_20,alphabuilderstw,technical,BETA_10,0.7490682889145245,0.7490682889145245,846288,-0.028257118209128525,-0.024214918688092158
tech_ema_12_pos,alphabuilderstw,technical,RESI_60,0.74880883973721,0.74880883973721,848433,-0.03928779210510085,-0.030571293526659913
tech_roc_10,alphabuilderstw,technical,rsi14,0.7485037019157439,0.7485037019157439,845184,-0.02591106281862681,-0.016774643423643286
l1_diTrend,stockvision_l1,l1_signal,rsi14,0.748358902312556,0.748358902312556,846964,-0.027199473141347547,-0.016774643423643286
tech_bbi,alphabuilderstw,technical,BETA_5,0.748302278256022,0.748302278256022,825533,-0.039384848132628644,-0.03748957786760976
tech_donchian_pos_20,alphabuilderstw,technical,ma20_bias,0.7482080338359035,0.7482080338359035,828424,-0.018193219221246136,-0.027081082099558094
tech_wma_10_pos,alphabuilderstw,technical,return_3d,0.7467629881084216,0.7467629881084216,837073,-0.041090535300176596,-0.030380253564112898
tech_bbands_pctb_20,alphabuilderstw,technical,BETA_10,0.7465708669541331,0.7465708669541331,828424,-0.025125465225420657,-0.024214918688092158
tech_kdj_j_9,alphabuilderstw,technical,BETA_10,0.7464658572342413,0.7464658572342413,847529,-0.022252550501434633,-0.024214918688092158
tech_donchian_pos_20,alphabuilderstw,technical,ma10_bias,0.7455905851398209,0.7455905851398209,828424,-0.018193219221246136,-0.039719990304153976
tech_sar,alphabuilderstw,technical,BETA_10,0.745529621954679,0.745529621954679,848433,-0.02242895186482997,-0.024214918688092158
vol_money_flow_5d,alphabuilderstw,volume,RESI_10,-0.7434584972052577,0.7434584972052577,842581,0.02842568873514042,-0.024413536721783594
tech_cmo_14,alphabuilderstw,technical,ma20_bias,0.7426785458656552,0.7426785458656552,832442,-0.016679944600498108,-0.027081082099558094
mom_rsi_14,alphabuilderstw,momentum,ma20_bias,0.7426785136942372,0.7426785136942372,832442,-0.016680265262073793,-0.027081082099558094
l1_return20d,stockvision_l1,l1_signal,IMXD_20,-0.7411121981934947,0.7411121981934947,843947,-0.022857431844817755,0.004077178672048777
tech_mtm_10,alphabuilderstw,technical,return_10d,0.7406481061580179,0.7406481061580179,845184,-0.023668102696947795,-0.02233427592210728
tech_roc_10,alphabuilderstw,technical,ma20_bias,0.7396922033615391,0.7396922033615391,845184,-0.02591106281862681,-0.027081082099558094
l1_return20d,stockvision_l1,l1_signal,rsi14,0.7384063059686355,0.7384063059686355,843947,-0.022857431844817755,-0.016774643423643286
tech_volume_ratio_5,alphabuilderstw,technical,vol_ratio_20d,0.7375870639126533,0.7375870639126533,847502,-0.009415586814862003,-0.017806319744645544
tech_kd9_k,alphabuilderstw,technical,rsi14,0.7372686339065945,0.7372686339065945,847529,-0.012073761323824895,-0.016774643423643286
tech_slow_kd_14,alphabuilderstw,technical,BETA_20,0.7345652064075169,0.7345652064075169,846964,-0.008466635073151298,-0.014284701210931674
tech_mfi_14,alphabuilderstw,technical,keltner_position,-0.7330540912752558,0.7330540912752558,847996,0.021913024991509725,-0.026209558310383026
tech_mtm_10,alphabuilderstw,technical,bb_position,0.7321307300756869,0.7321307300756869,845184,-0.023668102696947795,-0.024891557255207197
tech_bbands_pctb_20,alphabuilderstw,technical,return_10d,0.729203854264841,0.729203854264841,828424,-0.025125465225420657,-0.02233427592210728
