id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_foreign_5d_high,ml_feature_single,foreign_5d,chip_margin_flow,high,1,0.8490103270223752,0.28881626202808025,ok,0.076,0.25113361524038624,0.3582219254601101,2.3969317062030058,1.1083661655644579,-0.3264120588582371,0.9002877246825243,2.5461565922300364,0.769352463858614,0.4461538461538462,10.0,10.0,410,,830,10.0,10,10
ml106_foreign_5d_low,ml_feature_single,foreign_5d,chip_margin_flow,low,-1,0.8490103270223752,0.28881626202808025,ok,0.083,0.1778770488246897,0.2920762019404914,2.556091980190577,0.7246774043220199,-0.3731030015942628,0.6559943316205875,1.9908652672595772,0.47673773914241646,0.4564102564102564,10.0,10.0,410,,830,10.0,10,10
ml106_sentiment_high,ml_feature_single,sentiment,sentiment,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_sentiment_low,ml_feature_single,sentiment,sentiment,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_sentiment_3d_high,ml_feature_single,sentiment_3d,sentiment,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_sentiment_3d_low,ml_feature_single,sentiment_3d,sentiment,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.075,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_has_sentiment_high,ml_feature_single,has_sentiment,sentiment,high,1,0.8490103270223752,2.917432642029564e-17,ok,0.076,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_has_sentiment_low,ml_feature_single,has_sentiment,sentiment,low,-1,0.8490103270223752,2.917432642029564e-17,ok,0.083,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
ml106_atr14_high,ml_feature_single,atr14,other,high,1,0.8490103270223752,0.2888163048479708,ok,0.076,0.6210741648358218,0.737253797631865,2.6004205771151274,3.994377147100727,-0.1482879342068143,1.6696966482004338,5.2657425847224575,4.188016294075142,0.5743589743589743,10.0,10.0,400,,830,10.0,10,10
ml106_atr14_low,ml_feature_single,atr14,other,low,-1,0.8490103270223752,0.2888163048479707,ok,0.083,0.09329807832767711,0.13353845504529435,0.9006906041014766,0.3457659170781593,-0.12080421959715226,0.7568572700969072,1.5635747525365378,0.7722441831663023,0.47668393782383417,10.0,10.0,404,,830,10.0,10,10
